ID,history,reopenings,comments,score1,score2
ZOOKEEPER-3019,"Date: 2018-04-09T02:05:50.302-07:00, From: Open To: In Progress",0,0,1,-1
ZOOKEEPER-3018,,0,2,2,-2
ZOOKEEPER-3017,,0,7,1,-2
ZOOKEEPER-3016,"Date: 2018-04-09T03:12:29.277-07:00, From: Open To: Resolved",0,2,1,-1
ZOOKEEPER-3015,,0,2,1,-1
ZOOKEEPER-3014,"Date: 2018-03-29T09:09:22.789-07:00, From: Open To: Resolved",0,11,3,-3
ZOOKEEPER-3013,"Date: 2018-03-27T14:30:47.705-07:00, From: Open To: Resolved",0,0,1,-1
ZOOKEEPER-3012,,0,0,1,-1
ZOOKEEPER-3011,,0,0,1,-1
ZOOKEEPER-3010,,0,0,1,-1
ZOOKEEPER-3009,,0,2,3,-2
ZOOKEEPER-3008,,0,8,1,-2
ZOOKEEPER-3007,,0,10,3,-2
ZOOKEEPER-3006,"Date: 2018-04-05T21:04:40.519-07:00, From: Open To: Resolved",0,13,3,-2
ZOOKEEPER-3005,,0,0,1,-1
ZOOKEEPER-3004,,0,0,1,-1
ZOOKEEPER-3003,,0,0,1,-1
ZOOKEEPER-3002,,0,0,1,-1
ZOOKEEPER-3001,"Date: 2018-03-25T18:49:42.731-07:00, From: Open To: Resolved",0,10,1,-2
ZOOKEEPER-3000,,0,20,4,-4
ZOOKEEPER-2999,"Date: 2018-03-09T13:36:54.860-08:00, From: Open To: In ProgressDate: 2018-03-09T13:41:12.397-08:00, From: In Progress To: Patch Available",0,13,3,-2
ZOOKEEPER-2998,"Date: 2018-03-09T13:07:17.067-08:00, From: Open To: In ProgressDate: 2018-03-09T13:41:44.568-08:00, From: In Progress To: Patch AvailableDate: 2018-03-25T19:17:16.563-07:00, From: Patch Available To: Resolved",0,7,1,-2
ZOOKEEPER-2997,"Date: 2018-03-09T13:02:22.472-08:00, From: Open To: In ProgressDate: 2018-03-09T13:42:48.493-08:00, From: In Progress To: Patch AvailableDate: 2018-03-25T19:19:48.235-07:00, From: Patch Available To: Resolved",0,11,2,-2
ZOOKEEPER-2996,,0,0,1,-1
ZOOKEEPER-2995,,0,0,1,-1
ZOOKEEPER-2994,"Date: 2018-03-07T07:32:03.005-08:00, From: Open To: In Progress",0,1,1,-2
ZOOKEEPER-2993,,0,16,2,-3
ZOOKEEPER-2992,"Date: 2018-03-04T18:52:15.693-08:00, From: Open To: Resolved",0,7,1,-2
ZOOKEEPER-2991,,0,0,1,-1
ZOOKEEPER-2990,,0,2,2,-2
ZOOKEEPER-2989,,0,2,1,-2
